Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.0248152821153991,0.0540284706191432,0.0702301400520133,0,0,0,0.164225201885736,0.000185117096711317,3.35000782164808E-07,-2.16255122871351E-06,8.64741710242579E-05,2.24295586682671E-05,0.000117564522990156,0,0,0,0,0,0,package://leju_hand.SLDASM/meshes/base_link.STL,1,0.6,0.6,1,0,0,0,0,0,0,package://leju_hand.SLDASM/meshes/base_link.STL,,palm-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
thumb1,-0.000983911711046163,0.0344704863733602,0.0368838917816058,0,0,0,0.0564019014158436,2.37095016898147E-05,5.79708748876763E-08,-2.08874689884313E-07,1.35787665730408E-05,7.2149597295717E-06,1.95031663378398E-05,0,0,0,0,0,0,package://leju_hand.SLDASM/meshes/thumb1.STL,1,0.6,0.6,1,0,0,0,0,0,0,package://leju_hand.SLDASM/meshes/thumb1.STL,,thumb-1,Origin_thumb12,Axis_thumb12,thumb1,revolute,0.024018,-0.059299,0.065761,1.5708,0,0,base_link,0,0,1,0,0,-1.5708,0,,,,,,,,
thumb2,-0.000575733396408332,0.0337331258814012,-0.0181486565927319,0,0,0,0.00821021679962066,9.41305938370482E-07,-3.97046694025453E-23,-6.27413287970094E-08,8.21295376999865E-07,2.38228016415272E-22,4.66470295449127E-07,0,0,0,0,0,0,package://leju_hand.SLDASM/meshes/thumb2.STL,1,0.6,0.6,1,0,0,0,0,0,0,package://leju_hand.SLDASM/meshes/thumb2.STL,,medium_finger-5,Origin_thumb22,Axis_thumb22,thumb2,revolute,-0.022167,0.042997,-0.0082311,0.61548,0.5236,-0.61548,thumb1,0,1,0,0,0,-1.5708,0,,,,,,,,
thumb3,1.72457767826928E-05,0.031434929360531,-0.0178306972495317,0,0,0,0.00837443117226878,7.99384879552867E-07,-1.21143264415252E-13,1.41505793351702E-08,7.118372401867E-07,-1.43967952867614E-11,4.19442878449958E-07,0,0,0,0,0,0,package://leju_hand.SLDASM/meshes/thumb3.STL,1,0.6,0.6,1,0,0,0,0,0,0,package://leju_hand.SLDASM/meshes/thumb3.STL,,fingertip-5,Origin_thumb32,Axis_thumb32,thumb3,revolute,0,0.0022981,-0.035,0,0,0,thumb2,0,1,0,0,0,0,1.5708,,,,,,,,
index1,-0.000575733396408262,0.00999999999999997,-0.0181486565927314,0,0,0,0.00821021679962066,9.41305938370482E-07,3.69141838854441E-23,-6.27413287970098E-08,8.21295376999864E-07,3.93687644286624E-22,4.66470295449127E-07,0,0,0,0,0,0,package://leju_hand.SLDASM/meshes/index1.STL,1,0.6,0.6,1,0,0,0,0,0,0,package://leju_hand.SLDASM/meshes/index1.STL,,medium_finger-3,Origin_index12,Axis_index12,index1,revolute,0.026018,-0.033038,0.083761,1.5708,0,0,base_link,0,1,0,0,0,0,1.5708,,,,,,,,
index2,-0.000575733396408255,0.00999999999999997,-0.0181486565927314,0,0,0,0.00821021679962067,9.41305938370482E-07,3.38670587382707E-23,-6.27413287970098E-08,8.21295376999864E-07,3.85686941723071E-22,4.66470295449127E-07,0,0,0,0,0,0,package://leju_hand.SLDASM/meshes/index2.STL,1,0.6,0.6,1,0,0,0,0,0,0,package://leju_hand.SLDASM/meshes/index2.STL,,medium_finger-4,Origin_index22,Axis_index22,index2,revolute,0,0,-0.035,0,0,0,index1,0,1,0,0,0,-1.5708,0,,,,,,,,
index3,1.72453593307378E-05,0.00999987615947373,-0.0178306942876202,0,0,0,0.00837442341391307,7.99384128506354E-07,-1.80415329094167E-13,1.41507581790986E-08,7.1183828734224E-07,-1.63053988310892E-11,4.19440979887662E-07,0,0,0,0,0,0,package://leju_hand.SLDASM/meshes/index3.STL,1,0.6,0.6,1,0,0,0,0,0,0,package://leju_hand.SLDASM/meshes/index3.STL,,fingertip-1,Origin_index32,Axis_index32,index3,revolute,0,0,-0.035,0,0,0,index2,0,1,0,0,0,-1.5708,0,,,,,,,,
middle1,-0.000477422239856772,0.01,-0.0214927882427889,0,0,0,0.0104502167996206,1.55194279531872E-06,-2.3695484321303E-23,-7.59193058568366E-08,1.40612552869482E-06,-5.95490509869179E-22,5.86986923529186E-07,0,0,0,0,0,0,package://leju_hand.SLDASM/meshes/middle1.STL,1,0.6,0.6,1,0,0,0,0,0,0,package://leju_hand.SLDASM/meshes/middle1.STL,,long_finger-1,Origin_middle12,Axis_middle12,middle1,revolute,0.026018,-0.033038,0.060761,1.5708,0,0,base_link,0,1,0,0,0,-1.5708,0,,,,,,,,
middle2,-0.000477422239856768,0.01,-0.0214927882427889,0,0,0,0.0104502167996206,1.55194279531872E-06,-2.7993599267876E-23,-7.59193058568367E-08,1.40612552869482E-06,-5.96468374525079E-22,5.86986923529186E-07,0,0,0,0,0,0,package://leju_hand.SLDASM/meshes/middle2.STL,1,0.6,0.6,1,0,0,0,0,0,0,package://leju_hand.SLDASM/meshes/middle2.STL,,long_finger-2,Origin_middle22,Axis_middle22,middle2,revolute,0,0,-0.042,0,0,0,middle1,0,1,0,0,0,0,1.5708,,,,,,,,
middle3,-0.000780243111236988,0.00999987615947375,-0.0178382662542317,0,0,0,0.00837442341391307,7.99384128506354E-07,-1.80415328948957E-13,1.41507581790986E-08,7.1183828734224E-07,-1.63053988309345E-11,4.19440979887662E-07,0,0,0,0,0,0,package://leju_hand.SLDASM/meshes/middle3.STL,1,0.6,0.6,1,0,0,0,0,0,0,package://leju_hand.SLDASM/meshes/middle3.STL,,fingertip-2,Origin_middle32,Axis_middle32,middle3,revolute,0.00079749,0,-0.041992,0,0,0,middle2,0,1,0,0,0,0,1.5708,,,,,,,,
